Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,MACD,MACD_Signal,RSI,%K,%D,Upper Band,Lower Band,H-L,H-PC,L-PC,TR,ATR,OBV,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Short_MA,Long_MA,MA_Crossover
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700,6233.39501953125,6229.251598934267,-8.83610490049432,6211.136658166458,45.87477376143547,12.720125017428922,10.050141005313892,6383.112564273323,6083.677474789177,60.650390625,44.2001953125,16.4501953125,60.650390625,73.425048828125,-549700,6126.25,6135.85009765625,6266.75,6345.64990234375,6338.9501953125,6198.95,6233.39501953125,0
2014-01-30,6073.7001953125,6082.85009765625,6027.25,6067.0,208100,6226.022534179688,6214.437179541717,-19.950441094981215,6183.6493655956665,42.19809067724215,14.146545301511908,13.937300920635083,6391.925678656227,6060.119389703148,55.60009765625,37.39990234375,93.0,93.0,72.96076311383929,-757800,6120.25,6126.25,6135.85009765625,6266.75,6345.64990234375,6144.56005859375,6226.022534179688,0
2014-01-31,6089.5,6097.85009765625,6067.35009765625,6082.75,146700,6219.9400390625,6202.538400537744,-27.170515618779973,6164.819492476534,33.062180917513345,18.958422867645854,15.275031062195561,6396.703678824051,6043.176399300948,30.5,24.14990234375,6.35009765625,30.5,66.800048828125,-611100,6073.7001953125,6120.25,6126.25,6135.85009765625,6266.75,6109.11005859375,6219.9400390625,0
2014-02-03,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900,6210.45751953125,6183.420439028197,-39.513660633935615,6132.215554918728,29.920494432649804,2.035057832579583,11.713342000579116,6412.234208366048,6008.680830696452,80.39990234375,14.64990234375,95.0498046875,95.0498046875,70.289306640625,-746000,6089.5,6073.7001953125,6120.25,6126.25,6135.85009765625,6082.3,6210.45751953125,0
2014-02-04,6000.89990234375,6017.7998046875,5933.2998046875,5947.60009765625,183300,6202.3900146484375,6166.037530772535,-48.80570479991093,6105.952424403733,19.207059221530997,16.00758957116148,12.333690090462307,6424.190987560571,5980.589041736304,84.5,16.0,68.5,84.5,70.37144252232143,-929300,6001.7998046875,6089.5,6073.7001953125,6120.25,6126.25,6057.22998046875,6202.3900146484375,0
2014-02-05,6022.39990234375,6028.0498046875,5962.0498046875,6004.25,166600,6194.780004882812,6152.35775663646,-53.814506299750064,6089.241919991737,22.500443810027576,21.098753455717674,13.047133619819578,6430.596774116453,5958.963235649171,66.0,27.14990234375,38.85009765625,66.0,71.75359235491071,-762700,6000.89990234375,6001.7998046875,6089.5,6073.7001953125,6120.25,6037.6599609375,6194.780004882812,0
2014-02-06,6036.2998046875,6048.35009765625,5965.39990234375,6028.35009765625,185500,6188.177490234375,6141.304618355607,-56.01668613345828,6078.65349693089,27.271778153147608,24.390226981827347,20.498856669568834,6434.280132903006,5942.074847565744,82.9501953125,25.9501953125,57.0,82.9501953125,71.91074916294643,-577200,6022.39990234375,6000.89990234375,6001.7998046875,6089.5,6073.7001953125,6030.1798828125,6188.177490234375,0
2014-02-07,6063.2001953125,6079.9501953125,6030.89990234375,6077.64990234375,181900,6182.764990234375,6133.866101875311,-54.95777380364598,6075.562836607212,24.940127429972463,30.760194294871724,25.41639157747225,6435.099164937969,5930.43081553078,49.05029296875,43.650390625,5.39990234375,49.05029296875,70.83576311383929,-395300,6036.2998046875,6022.39990234375,6000.89990234375,6001.7998046875,6089.5,6024.919921875,6182.764990234375,0
2014-02-10,6053.4501953125,6083.0498046875,6046.39990234375,6072.7998046875,133100,6171.8,6126.207444107424,-54.27961999762738,6071.140308348271,22.894366540864127,28.451410672805537,27.867277316501532,6426.715853473363,5916.884146526638,36.64990234375,19.849609375,16.80029296875,36.64990234375,71.13933454241071,-528400,6063.2001953125,6036.2998046875,6022.39990234375,6000.89990234375,6001.7998046875,6035.25,6171.8,0
2014-02-11,6062.7001953125,6081.85009765625,6053.25,6072.4501953125,150500,6162.842504882812,6120.159134698384,-52.39184000718342,6069.452285741117,20.25409363735399,30.641795134765765,29.95113336748101,6419.974850694709,5905.710159070915,28.60009765625,28.39990234375,0.2001953125,28.60009765625,68.71791294642857,-377900,6053.4501953125,6063.2001953125,6036.2998046875,6022.39990234375,6000.89990234375,6047.61005859375,6162.842504882812,0
2014-02-12,6084.0,6106.60009765625,6077.39990234375,6085.35009765625,138500,6150.997509765625,6116.715407584253,-48.61662237569999,6072.361828592893,22.68503367863235,37.85006843166399,32.31442474641177,6399.141728017202,5902.853291514049,29.2001953125,43.89990234375,14.69970703125,43.89990234375,69.05360630580357,-239400,6062.7001953125,6053.4501953125,6063.2001953125,6036.2998046875,6022.39990234375,6059.930078125,6150.997509765625,0
2014-02-13,6001.10009765625,6094.39990234375,5991.10009765625,6087.5498046875,153700,6135.10751953125,6105.704425686347,-51.71789282431564,6058.109482405564,22.49714634089625,26.56230870470127,31.684724090377006,6378.6394527777375,5891.575586284762,103.2998046875,10.39990234375,92.89990234375,103.2998046875,70.59287806919643,-393100,6084.0,6062.7001953125,6053.4501953125,6063.2001953125,6036.2998046875,6052.89013671875,6135.10751953125,0
2014-02-14,6048.35009765625,6056.39990234375,5984.60009765625,6023.75,140200,6124.442529296875,6100.2421087310995,-49.78905465358184,6056.157605455703,39.04332046086533,48.513642615363075,37.64200658390944,6363.277904087792,5885.6071545059585,71.7998046875,55.2998046875,16.5,71.7998046875,65.971435546875,-252900,6001.10009765625,6084.0,6062.7001953125,6053.4501953125,6063.2001953125,6049.9201171875,6124.442529296875,0
2014-02-18,6127.10009765625,6141.7001953125,6066.7998046875,6071.2998046875,126600,6115.600024414062,6102.800012438257,-41.42840874028752,6070.346103895812,50.09073521057762,81.72041903789295,52.26545678598577,6339.052060880087,5892.147987948038,74.900390625,93.35009765625,18.44970703125,93.35009765625,67.09287806919643,-126300,6048.35009765625,6001.10009765625,6084.0,6062.7001953125,6053.4501953125,6064.65009765625,6115.600024414062,0
2014-02-19,6152.75,6160.35009765625,6125.75,6132.0498046875,95200,6107.547534179687,6107.557154110805,-32.35978045897082,6086.82688311665,53.329238476713336,96.65268097350747,75.62891420892116,6311.699941469188,5903.3951268901865,34.60009765625,33.25,1.35009765625,34.60009765625,65.23214285714286,-31100,6127.10009765625,6048.35009765625,6001.10009765625,6084.0,6062.7001953125,6082.66005859375,6107.547534179687,0
2014-02-20,6091.4501953125,6129.10009765625,6086.4501953125,6127.14990234375,132100,6095.172534179687,6106.023158034775,-29.775970293877435,6087.75154555582,51.76494121394085,69.65434334267385,82.6758144513581,6267.842341310446,5922.502727048929,42.64990234375,23.64990234375,66.2998046875,66.2998046875,63.324986049107146,-163200,6152.75,6127.10009765625,6048.35009765625,6001.10009765625,6084.0,6084.15009765625,6095.172534179687,0
2014-02-21,6155.4501953125,6159.64990234375,6108.0,6108.2998046875,112600,6085.662548828125,6110.730494918368,-22.30687719821799,6101.291275507156,55.98405033006956,97.84193084286203,88.04965171968111,6216.011298799504,5955.313798856746,51.64990234375,68.19970703125,16.5498046875,68.19970703125,66.017822265625,-50600,6091.4501953125,6152.75,6127.10009765625,6048.35009765625,6001.10009765625,6115.0201171875,6085.662548828125,1
2014-02-24,6186.10009765625,6191.85009765625,6130.7998046875,6140.9501953125,144900,6081.630053710937,6117.908552321976,-13.755807751711473,6118.253039936974,68.65389424450262,97.77606130939678,88.42411183164423,6191.8223257162135,5971.437781705661,61.05029296875,36.39990234375,24.650390625,61.05029296875,63.589285714285715,94300,6155.4501953125,6091.4501953125,6152.75,6127.10009765625,6048.35009765625,6142.5701171875,6081.630053710937,1
2014-02-25,6200.0498046875,6216.85009765625,6176.60009765625,6205.7001953125,146300,6084.8400390625,6125.7315287377405,-5.786693433558867,6134.61239288708,69.63811959704826,93.40648600792211,96.34149272006032,6204.974563643797,5964.705514481203,40.25,30.75,9.5,40.25,60.42857142857143,240600,6186.10009765625,6155.4501953125,6091.4501953125,6152.75,6127.10009765625,6157.16005859375,6084.8400390625,1
2014-02-26,6238.7998046875,6245.9501953125,6202.10009765625,6202.4501953125,181700,6090.467529296875,6136.499935971051,3.6140279659448424,6155.4498752471645,70.63705745670607,97.45129810796652,96.21128180842847,6228.047282720482,5952.887775873268,43.85009765625,45.900390625,2.05029296875,45.900390625,58.992885044642854,422300,6200.0498046875,6186.10009765625,6155.4501953125,6091.4501953125,6152.75,6174.37001953125,6090.467529296875,1
2014-02-28,6276.9501953125,6282.7001953125,6228.10009765625,6228.4501953125,180600,6098.3025390625,6149.876151146427,13.981416030046603,6179.749939260232,71.9351450468654,98.07111770670048,96.30963394086304,6258.939388230227,5937.665689894772,54.60009765625,43.900390625,10.69970703125,54.60009765625,56.96787806919643,602900,6238.7998046875,6200.0498046875,6186.10009765625,6155.4501953125,6091.4501953125,6211.47001953125,6098.3025390625,1
2014-03-03,6221.4501953125,6277.75,6212.25,6264.35009765625,144600,6105.6900390625,6156.692726781292,17.517330712405055,6188.089990470686,63.70962147272171,79.45321035398332,91.65854205621677,6274.922674973089,5936.4574031519105,65.5,0.7998046875,64.7001953125,65.5,58.142857142857146,458300,6276.9501953125,6238.7998046875,6200.0498046875,6186.10009765625,6155.4501953125,6224.67001953125,6105.6900390625,1
2014-03-04,6297.9501953125,6302.14990234375,6215.7001953125,6216.75,166800,6116.112548828125,6170.145819022359,26.190570640607802,6210.062031439049,68.98588464752568,98.67746508760005,92.06726438276128,6305.609267389941,5926.615830266309,86.44970703125,80.69970703125,5.75,86.44970703125,61.699986049107146,625100,6221.4501953125,6276.9501953125,6238.7998046875,6200.0498046875,6186.10009765625,6247.0400390625,6116.112548828125,1
2014-03-05,6328.64990234375,6336.25,6287.7998046875,6328.4501953125,160300,6132.455053710937,6185.241446005349,35.13635552541837,6233.7796056199895,69.98572618492847,97.83873175974306,91.98980240044214,6336.276933633285,5928.633173788589,48.4501953125,38.2998046875,10.150390625,48.4501953125,63.117850167410715,785400,6297.9501953125,6221.4501953125,6276.9501953125,6238.7998046875,6200.0498046875,6272.76005859375,6132.455053710937,1
2014-03-06,6401.14990234375,6406.60009765625,6339.7001953125,6344.75,180700,6152.467553710938,6205.8041561328155,47.528222822345015,6267.253664964742,72.13036109882637,98.70848452310426,98.40822712348245,6379.211608213017,5925.723499208859,66.89990234375,77.9501953125,11.05029296875,77.9501953125,65.55001395089286,966100,6328.64990234375,6297.9501953125,6221.4501953125,6276.9501953125,6238.7998046875,6305.230078125,6152.467553710938,1
2014-03-07,6526.64990234375,6537.7998046875,6413.5498046875,6413.9501953125,284900,6177.6800537109375,6236.3608938671905,66.70671460401354,6319.132912440544,84.61438518901576,97.98447067089279,98.17722898458003,6450.903520248916,5904.456587172959,124.25,136.64990234375,12.39990234375,136.64990234375,67.93216378348214,1251000,6401.14990234375,6328.64990234375,6297.9501953125,6221.4501953125,6276.9501953125,6355.17001953125,6177.6800537109375,1
2014-03-10,6537.25,6562.2001953125,6487.35009765625,6491.7001953125,242100,6202.727563476563,6265.016999213172,81.81799983454766,6362.756329952435,83.83392614208893,94.96363027065387,97.2188618215503,6510.981445244789,5894.473681708337,74.85009765625,35.55029296875,39.2998046875,74.85009765625,68.15004185267857,1493100,6526.64990234375,6401.14990234375,6328.64990234375,6297.9501953125,6221.4501953125,6418.32998046875,6202.727563476563,1
2014-03-11,6511.89990234375,6562.85009765625,6494.25,6537.35009765625,239000,6225.162548828125,6288.529656654179,90.7026969988874,6392.585044430698,78.7550462812957,89.30516251958916,94.08442115371194,6555.202495858122,5895.122601798128,68.60009765625,25.60009765625,43.0,68.60009765625,66.38218470982143,1254100,6537.25,6526.64990234375,6401.14990234375,6328.64990234375,6297.9501953125,6461.119921875,6225.162548828125,1
2014-03-12,6516.89990234375,6546.14990234375,6487.2998046875,6497.5,175000,6248.335034179688,6310.27920386271,97.02885350087672,6417.448016013308,78.07850002823741,90.35470093792247,91.54116457605517,6592.393325158346,5904.27674320103,58.85009765625,34.25,24.60009765625,58.85009765625,68.11432756696429,1429100,6511.89990234375,6537.25,6526.64990234375,6401.14990234375,6328.64990234375,6498.769921875,6248.335034179688,1
2014-03-13,6493.10009765625,6561.4501953125,6476.64990234375,6491.75,167900,6269.855029296875,6327.690717557333,98.98094208433304,6432.5784323418975,82.87094647245699,84.66527755860501,88.10838033870554,6618.830658112217,5920.879400481533,84.80029296875,44.55029296875,40.25,84.80029296875,69.435791015625,1261200,6516.89990234375,6511.89990234375,6537.25,6526.64990234375,6401.14990234375,6517.1599609375,6269.855029296875,1
2014-03-14,6504.2001953125,6518.4501953125,6432.7001953125,6447.25,177300,6290.8650390625,6344.501144010206,100.26784614840199,6446.902784936018,81.24721100792205,86.42521407849337,87.14839752500696,6643.306480222056,5938.423597902944,85.75,25.35009765625,60.39990234375,85.75,70.68938337053571,1438500,6493.10009765625,6516.89990234375,6511.89990234375,6537.25,6526.64990234375,6512.67001953125,6290.8650390625,1
2014-03-18,6516.64990234375,6574.9501953125,6497.64990234375,6532.4501953125,179300,6316.642529296875,6360.896263851497,101.12658982333323,6460.852208417566,80.61498970705817,85.36455913735979,85.48501692481939,6654.98107293703,5978.30398565672,77.30029296875,70.75,6.55029296875,77.30029296875,71.85009765625,1617800,6504.2001953125,6493.10009765625,6516.89990234375,6511.89990234375,6537.25,6508.55,6316.642529296875,1
2014-03-19,6524.0498046875,6541.2001953125,6506.0,6530.0,172500,6340.427514648438,6376.434696312069,101.23726052685834,6473.491727671553,80.37690968121166,86.34829628717766,86.04602316767694,6665.993918734549,6014.861110562327,35.2001953125,24.55029296875,10.64990234375,35.2001953125,71.48939732142857,1790300,6516.64990234375,6504.2001953125,6493.10009765625,6516.89990234375,6511.89990234375,6510.97998046875,6340.427514648438,1
2014-03-20,6483.10009765625,6523.64990234375,6473.25,6508.35009765625,142000,6358.227514648437,6386.593305963896,96.90362407240627,6475.413401668493,72.81050567017688,74.67602751713089,82.12962764722278,6673.44811428988,6043.006915006994,50.39990234375,0.39990234375,50.7998046875,50.7998046875,71.83935546875,1648300,6524.0498046875,6516.64990234375,6504.2001953125,6493.10009765625,6516.89990234375,6504.22001953125,6358.227514648437,1
2014-03-21,6493.2001953125,6522.89990234375,6485.7001953125,6515.2001953125,189900,6375.250024414063,6396.746343044715,93.20971584765084,6478.970760397295,71.30755078633176,77.46072346898939,79.49501575776598,6680.3575720814415,6070.142476746684,37.19970703125,39.7998046875,2.60009765625,39.7998046875,70.78219168526786,1838200,6483.10009765625,6524.0498046875,6516.64990234375,6504.2001953125,6493.10009765625,6504.2400390625,6375.250024414063,1
2014-03-24,6583.5,6591.5,6510.5,6510.5,158400,6399.852514648437,6414.532405611885,96.4568124460884,6499.876608317836,83.38409006182656,97.87120698302319,83.33598598971449,6687.456219743496,6112.248809553378,81.0,98.2998046875,17.2998046875,98.2998046875,73.12503487723214,1996600,6493.2001953125,6483.10009765625,6524.0498046875,6516.64990234375,6504.2001953125,6520.1,6399.852514648437,1
2014-03-25,6589.75,6595.5498046875,6544.85009765625,6550.10009765625,168100,6421.5675048828125,6431.21979555361,98.40018656228858,6517.851286654269,80.91106021389245,98.11541683590576,91.14911576263944,6696.789225397443,6146.345784368182,50.69970703125,12.0498046875,38.64990234375,50.69970703125,70.57146344866071,2164700,6583.5,6493.2001953125,6483.10009765625,6524.0498046875,6516.64990234375,6534.72001953125,6421.5675048828125,1
2014-03-26,6601.39990234375,6627.4501953125,6580.60009765625,6615.64990234375,186600,6442.332495117187,6447.427424771719,99.7307404122339,6534.561009792165,80.10823164158509,90.94690079278888,95.64450820390594,6705.138937109963,6179.526053124411,46.85009765625,37.7001953125,9.14990234375,46.85009765625,70.45717075892857,2351300,6589.75,6583.5,6493.2001953125,6483.10009765625,6524.0498046875,6550.1900390625,6442.332495117187,1
2014-03-27,6641.75,6673.9501953125,6599.5,6613.10009765625,312400,6464.417504882813,6465.934336698223,102.8554756870517,6555.998807833733,78.58846108770395,87.63435214700918,92.23222325856794,6715.470365460934,6213.364644304692,74.4501953125,72.55029296875,1.89990234375,74.4501953125,70.20717075892857,2663700,6601.39990234375,6589.75,6583.5,6493.2001953125,6483.10009765625,6581.92001953125,6464.417504882813,1
2014-03-28,6695.89990234375,6702.60009765625,6643.7998046875,6673.0498046875,184800,6487.272509765625,6487.835819140654,108.45113826098714,6583.979026735737,74.21668026693793,97.51752584779877,92.03292626253227,6735.047678671524,6239.497340859725,58.80029296875,60.85009765625,2.0498046875,60.85009765625,64.79289899553571,2848500,6641.75,6601.39990234375,6589.75,6583.5,6493.2001953125,6622.4599609375,6487.272509765625,1
2014-03-31,6704.2001953125,6730.0498046875,6662.39990234375,6723.14990234375,220600,6508.635009765625,6508.441950204639,112.26142560547032,6608.02326045109,74.04587024341666,91.30666106159232,92.15284635213341,6753.716974454543,6263.553045076707,67.64990234375,34.14990234375,33.5,67.64990234375,64.27859933035714,3069100,6695.89990234375,6641.75,6601.39990234375,6589.75,6583.5,6646.6,6508.635009765625,1
2014-04-01,6721.0498046875,6732.25,6675.4501953125,6729.5,177800,6533.614990234375,6528.690317298245,115.31148936561567,6630.628569298373,80.88004810014519,96.26099061417035,95.02839250785382,6756.266236848683,6310.963743620067,56.7998046875,28.0498046875,28.75,56.7998046875,63.435721261160715,3246900,6704.2001953125,6695.89990234375,6641.75,6601.39990234375,6589.75,6672.8599609375,6533.614990234375,1
