Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_150,EMA_150,SMA_200,EMA_200,RSI,MACD
2010-02-05,4819.64990234375,4827.0,4692.35009765625,4718.64990234375,4718.64990234375,0,5056.94501953125,5000.942850091847,,5116.300545242855,,5169.605335221227,,5189.385953757114,,5199.676121882607,19.53057424264985,-112.7167808016884
2010-02-08,4755.35009765625,4799.0498046875,4675.39990234375,4760.39990234375,4760.39990234375,0,5032.727514648437,4978.033997925361,,5102.343657286027,,5161.502257342465,,5183.704019301308,,5195.305214225504,21.248534583821808,-117.56144696910906
2010-02-09,4760.5498046875,4810.39990234375,4739.35009765625,4792.64990234375,4792.64990234375,0,5009.8900146484375,4960.378369774731,,5090.198804151036,,5154.198250312787,,5178.524494573393,,5191.298693709267,25.33326286626649,-117.44474442826686
2010-02-10,4793.0,4826.85009765625,4748.10009765625,4757.2001953125,4757.2001953125,0,4987.230029296875,4941.028067444995,,5077.140035176975,,5146.33690268902,,5172.944040278548,,5186.979305665518,24.45557081956261,-118.84280602493345
2010-02-11,4757.25,4843.7998046875,4757.25,4826.85009765625,4826.85009765625,0,4966.875024414063,4930.153975084162,,5067.324743509496,,5140.010431302232,,5168.360014548451,,5183.395930461446,34.30048948586203,-113.0277018920533
2010-02-15,4827.89990234375,4845.60009765625,4783.89990234375,4801.9501953125,4801.9501953125,0,4943.9775390625,4917.944091296385,,5056.917898482163,,5133.3161692034255,,5163.506904359895,,5179.600450509715,35.69464821418126,-109.16996064280647
2010-02-16,4801.7998046875,4880.0,4791.35009765625,4855.75,4855.75,0,4924.155029296875,4912.020844506253,,5049.028961286785,,5127.819809417219,,5159.430653971022,,5176.37805796733,40.98370427297701,-100.6116893682647
2010-02-17,4858.64990234375,4929.7001953125,4857.60009765625,4914.0,4914.0,0,4906.112524414062,4912.209335505657,,5043.733707902989,,5123.585753785195,,5156.179916832333,,5173.767331022382,54.07520919579289,-88.11319547090807
2010-02-18,4915.10009765625,4922.0498046875,4873.7001953125,4887.75,4887.75,0,4889.217529296875,4909.879874981309,,5037.616699749931,,5118.915738858756,,5152.624553695481,,5170.92138743012,51.34992791210036,-79.4108062867017
2010-02-19,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,4844.89990234375,0,4870.377514648438,4903.691306158684,,5030.059178283022,,5113.489682690141,,5148.54873049877,,5167.677392553639,47.64082696793103,-75.10597005756063
2010-02-22,4849.35009765625,4912.0498046875,4845.89990234375,4856.39990234375,4856.39990234375,0,4858.490014648438,4899.187362938214,,5023.249010599129,,5108.398795950609,,5144.679209596055,,5164.58010409384,47.22860284130791,-69.95994771213645
2010-02-23,4856.60009765625,4884.10009765625,4833.14990234375,4870.0498046875,4870.0498046875,0,4850.1925048828125,4896.412357390527,,5017.2411986025945,,5103.6790139454,,5141.041734034352,,5161.649454348503,52.75420433835069,-64.04201836323227
