Close,High,Low,Open,Volume,RSI,%K,%D,Upper Band,Lower Band,ATR,OBV,Chaikin,SMA,EMA,MACD Line,Signal Line,MACD Histogram
11512.400390625,11593.599609375,11499.75,11556.349609375,650000.0,64.91646569276438,82.19312040717125,81.75716505113468,11680.281616803904,10505.578637102346,191.44642857142856,18292700.0,-16002.965444063768,11092.930126953124,11196.47909987576,116.11669939222156,37.05658841395284,79.06011097826872
11474.4501953125,11508.25,11390.7998046875,11491.150390625,756800.0,62.543890650174106,78.4892154900447,82.87142144575022,11726.121202601713,10512.354090367038,190.20005580357144,17535900.0,65486.01991295256,11119.237646484376,11222.9525375364,122.47252122097598,54.13977497535747,68.33274624561851
11359.900390625,11554.2001953125,11247.900390625,11515.400390625,1305400.0,58.26660325254674,67.30925761778134,75.99719783833243,11750.373296163669,10521.76703586758,208.38218470982144,16230500.0,-100094.27940072678,11136.070166015625,11235.995190211504,116.91857930295372,66.69553584087672,50.223043462077015
11314.0,11370.400390625,11257.349609375,11322.25,1017500.0,58.47534757399176,62.82942079127708,69.54263129970104,11759.498841342447,10564.251451626304,208.11439732142856,15213000.0,-112518.39062878116,11161.875146484375,11243.42421971517,107.5732252227026,74.8710737172419,32.702151505460705
11174.75,11400.2998046875,11158.349609375,11388.4501953125,928500.0,52.47117507643842,49.23874608030957,59.79247482978932,11757.04789121544,10599.712362690809,215.48939732142856,14284500.0,-458173.14349918254,11178.380126953123,11236.883817837535,87.91719880401433,77.48029873459639,10.436900069417945
11126.400390625,11233.849609375,11112.650390625,11196.2001953125,733200.0,53.109824624177016,44.51986770746957,52.19601152635207,11750.530649384957,10634.079604521292,216.45361328125,13551300.0,-725794.4921939094,11192.305126953124,11226.361586674437,67.65832381012297,75.5159037497017,-7.857579939578741
11313.2998046875,11321.599609375,11090.150390625,11152.9501953125,741100.0,62.53667047181728,62.761082358772,52.17323204885039,11758.864584160048,10662.4556306837,218.1999860491072,14292400.0,-820135.5737183876,11210.660107421874,11234.641416961394,65.92430579072061,73.59758415790549,-7.673278367184878
11234.5498046875,11293.349609375,11208.5498046875,11280.5,562000.0,59.68906814125492,55.075153213431314,54.118701093224296,11761.68858755542,10682.78162728833,219.94635881696428,13730400.0,-707697.3616108941,11222.235107421877,11234.632691982928,57.53241924229224,70.38455117478284,-12.852131932490607
11305.0498046875,11362.900390625,11189.400390625,11257.7001953125,737800.0,65.25529568155126,61.169501781228895,59.66857911781074,11768.96135037257,10702.443825408678,219.8427734375,14468200.0,-391501.42053326406,11235.702587890624,11241.339083669078,55.92587087253014,67.4928151143323,-11.566944241802162
11341.150390625,11420.4501953125,11290.0498046875,11335.900390625,587600.0,52.33430509504129,41.508239504402376,52.58429816635419,11775.0497261232,10732.1905082518,179.80705915178572,15055800.0,-296165.503793424,11253.6201171875,11250.844922426784,56.90966608926647,65.37618530931914,-8.466519220052675
11428.2998046875,11462.349609375,11342.099609375,11360.849609375,527400.0,42.80871389772233,59.86011060459118,54.17928396340748,11791.197859611117,10751.282316170134,158.41775948660714,15583200.0,-122478.4355114894,11271.240087890625,11267.745387403997,63.983992624867824,65.09774677242888,-1.1137541475610533
11464.0,11481.0498046875,11411.099609375,11464.9501953125,533500.0,44.90523197075999,71.79761288531797,57.72198766477052,11805.004493545704,10783.525682235546,155.13922991071428,16116700.0,65201.08606292494,11294.265087890624,11286.436302889331,71.64527266914592,66.40725195177228,5.238020717373644
11586.349609375,11599.099609375,11439.650390625,11466.2998046875,797600.0,56.12401146750886,95.29478840801508,75.65083729930808,11806.792203776087,10858.61297200516,154.23556082589286,16914300.0,416505.59675973,11332.702587890624,11314.999474935586,86.59131250959763,70.44406406333735,16.147248446260278
11661.849609375,11684.7001953125,11553.150390625,11580.2998046875,853400.0,53.98371750689881,96.15665739735456,87.7496862302292,11809.076970597967,10938.448127058282,151.44273158482142,17767700.0,821742.5286549907,11373.762548828125,11348.032821072671,103.33716922209533,77.02268509508895,26.31448412700638
11588.349609375,11714.349609375,11573.650390625,11657.150390625,867600.0,53.295122141363336,79.81413686285553,90.42186088940838,11729.006797235656,11106.873280889342,154.78913225446428,16900100.0,895433.4538172381,11417.9400390625,11370.920134244325,109.41626300855752,83.50140067778267,25.91486233077484
11604.099609375,11651.599609375,11554.400390625,11596.2001953125,664200.0,55.735435792202175,82.33736975499859,86.1027213384029,11748.382564876154,11120.487454655096,153.04617745535714,17564300.0,692599.3846796853,11434.435009765624,11393.127703304388,114.18858705198544,89.63883795262323,24.549749099362216
11582.599609375,11679.599609375,11534.650390625,11661.650390625,700500.0,60.73560482519405,78.89295660064457,80.34815440616623,11745.639224414506,11121.470736522995,141.52113560267858,16863800.0,317607.4000501223,11433.55498046875,11411.172646739686,114.91119321647238,94.69330900539308,20.21788421107931
11583.900390625,11646.900390625,11490.75,11646.150390625,812000.0,63.59563252271202,79.10134860289746,80.11055831951354,11744.98128478584,11121.69869568291,144.59967912946428,17675800.0,186234.06780327857,11433.339990234375,11427.622908062096,114.27157440555312,98.60896208542508,15.66261232012802
11786.849609375,11809.400390625,11627.349609375,11643.9501953125,951700.0,78.97379004298988,96.86468109141468,84.95299543165224,11800.178911696095,11101.166010178904,143.42466517857142,18627500.0,241479.01867820788,11450.6724609375,11461.8349748538,128.65788966018408,104.61874760037688,24.03914205980719
