Date,Open,High,Low,Close,Adj Close,Volume,RSI
2010-01-04,5200.89990234375,5238.4501953125,5167.10009765625,5232.2001953125,5232.2001953125,0,
2010-01-05,5277.14990234375,5288.35009765625,5242.39990234375,5277.89990234375,5277.89990234375,0,100.0
2010-01-06,5278.14990234375,5310.85009765625,5260.0498046875,5281.7998046875,5281.7998046875,0,100.0
2010-01-07,5281.7998046875,5302.5498046875,5244.75,5263.10009765625,5263.10009765625,0,72.62094554501455
2010-01-08,5264.25,5276.75,5234.7001953125,5244.75,5244.75,0,57.24171353221607
2010-01-11,5263.7998046875,5287.2001953125,5227.7998046875,5249.39990234375,5249.39990234375,0,59.41940624983287
2010-01-12,5251.10009765625,5300.5,5200.9501953125,5210.39990234375,5210.39990234375,0,41.63453287015698
2010-01-13,5212.60009765625,5239.2001953125,5169.5498046875,5233.9501953125,5233.9501953125,0,50.56873722562872
2010-01-14,5234.5,5272.85009765625,5232.5,5259.89990234375,5259.89990234375,0,57.702951152679454
2010-01-15,5259.89990234375,5279.85009765625,5242.4501953125,5252.2001953125,5252.2001953125,0,55.33336111125579
2010-01-18,5253.64990234375,5292.5,5228.9501953125,5274.85009765625,5274.85009765625,0,60.1475423167629
2010-01-19,5274.2001953125,5287.7998046875,5218.64990234375,5225.64990234375,5225.64990234375,0,48.73716692365767
2010-01-20,5226.10009765625,5256.7001953125,5201.39990234375,5221.7001953125,5221.7001953125,0,48.00606784413503
2010-01-21,5220.2001953125,5220.35009765625,5085.4501953125,5094.14990234375,5094.14990234375,0,32.33969509993642
2010-01-22,5094.14990234375,5094.14990234375,4954.85009765625,5036.0,5036.0,0,28.151378391604595
2010-01-25,5034.5498046875,5035.7001953125,4983.0498046875,5007.89990234375,5007.89990234375,0,18.706494353179266
2010-01-27,5008.5,5008.5,4833.0498046875,4853.10009765625,4853.10009765625,0,13.18905973674876
2010-01-28,4863.0,4929.89990234375,4824.9501953125,4867.25,4867.25,0,15.742065581446056
2010-01-29,4866.14990234375,4893.7001953125,4766.0,4882.0498046875,4882.0498046875,0,18.416867920677575
2010-02-01,4882.0498046875,4918.7998046875,4827.14990234375,4899.7001953125,4899.7001953125,0,20.223102732862955
2010-02-02,4907.85009765625,4951.14990234375,4814.10009765625,4830.10009765625,4830.10009765625,0,19.221436960483828
2010-02-03,4831.0,4949.14990234375,4831.0,4931.85009765625,4931.85009765625,0,28.297391552026895
2010-02-04,4931.2998046875,4931.2998046875,4832.35009765625,4845.35009765625,4845.35009765625,0,22.60260976085152
2010-02-05,4819.64990234375,4827.0,4692.35009765625,4718.64990234375,4718.64990234375,0,19.53057424264985
2010-02-08,4755.35009765625,4799.0498046875,4675.39990234375,4760.39990234375,4760.39990234375,0,21.248534583821808
2010-02-09,4760.5498046875,4810.39990234375,4739.35009765625,4792.64990234375,4792.64990234375,0,25.333262866266494
2010-02-10,4793.0,4826.85009765625,4748.10009765625,4757.2001953125,4757.2001953125,0,24.45557081956261
2010-02-11,4757.25,4843.7998046875,4757.25,4826.85009765625,4826.85009765625,0,34.30048948586203
2010-02-15,4827.89990234375,4845.60009765625,4783.89990234375,4801.9501953125,4801.9501953125,0,35.69464821418126
2010-02-16,4801.7998046875,4880.0,4791.35009765625,4855.75,4855.75,0,40.98370427297701
2010-02-17,4858.64990234375,4929.7001953125,4857.60009765625,4914.0,4914.0,0,54.07520919579289
2010-02-18,4915.10009765625,4922.0498046875,4873.7001953125,4887.75,4887.75,0,51.349927912100355
2010-02-19,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,4844.89990234375,0,47.64082696793103
2010-02-22,4849.35009765625,4912.0498046875,4845.89990234375,4856.39990234375,4856.39990234375,0,47.22860284130791
2010-02-23,4856.60009765625,4884.10009765625,4833.14990234375,4870.0498046875,4870.0498046875,0,52.75420433835069
2010-02-24,4869.5498046875,4880.5498046875,4834.64990234375,4858.60009765625,4858.60009765625,0,44.23182218066159
2010-02-25,4859.0,4880.14990234375,4835.60009765625,4859.75,4859.75,0,51.31003687879749
2010-02-26,4858.5,4992.0,4858.4501953125,4922.2998046875,4922.2998046875,0,70.97542846049936
2010-03-02,4935.60009765625,5029.4501953125,4935.35009765625,5017.0,5017.0,0,73.82992288514575
2010-03-03,5015.7998046875,5093.25,5015.10009765625,5088.10009765625,5088.10009765625,0,75.59122521794002
2010-03-04,5096.9501953125,5096.9501953125,5049.0,5080.25,5080.25,0,79.38689612164004
2010-03-05,5080.5498046875,5118.64990234375,5068.0498046875,5088.7001953125,5088.7001953125,0,76.80420255012021
2010-03-08,5092.14990234375,5147.10009765625,5092.14990234375,5124.0,5124.0,0,82.27924795721407
2010-03-09,5121.0498046875,5131.7998046875,5094.35009765625,5101.5,5101.5,0,76.28062267764756
2010-03-10,5101.60009765625,5137.39990234375,5092.0498046875,5116.25,5116.25,0,73.84743463672227
2010-03-11,5116.35009765625,5152.60009765625,5102.10009765625,5133.39990234375,5133.39990234375,0,79.59996093276553
2010-03-12,5131.7998046875,5158.10009765625,5122.10009765625,5137.0,5137.0,0,88.87414498728285
2010-03-15,5134.4501953125,5151.0498046875,5101.2001953125,5128.89990234375,5128.89990234375,0,86.59684971211982
2010-03-16,5128.9501953125,5209.25,5125.7001953125,5198.10009765625,5198.10009765625,0,88.33705949417795
2010-03-17,5198.4501953125,5260.5,5177.14990234375,5231.89990234375,5231.89990234375,0,91.459311721131
2010-03-18,5232.5498046875,5255.64990234375,5214.39990234375,5245.89990234375,5245.89990234375,0,91.69632415822812
2010-03-19,5246.7998046875,5269.9501953125,5237.10009765625,5262.7998046875,5262.7998046875,0,90.78817457383639
2010-03-22,5260.9501953125,5260.9501953125,5187.0498046875,5205.2001953125,5205.2001953125,0,74.74366184162885
2010-03-23,5205.85009765625,5243.60009765625,5193.39990234375,5225.2998046875,5225.2998046875,0,70.83206678479549
2010-03-25,5225.2998046875,5267.2998046875,5202.9501953125,5260.39990234375,5260.39990234375,0,75.26297121524814
2010-03-26,5260.5498046875,5293.75,5260.5498046875,5282.0,5282.0,0,76.1428473315512
2010-03-29,5283.89990234375,5329.5498046875,5242.14990234375,5302.85009765625,5302.85009765625,0,75.17246213667495
2010-03-30,5302.9501953125,5325.0,5251.35009765625,5262.4501953125,5262.4501953125,0,71.56645424686931
2010-03-31,5260.39990234375,5293.89990234375,5235.14990234375,5249.10009765625,5249.10009765625,0,67.86822759255685
2010-04-01,5249.2001953125,5298.60009765625,5249.2001953125,5290.5,5290.5,0,69.83589537451589
2010-04-05,5291.39990234375,5377.5498046875,5291.39990234375,5368.39990234375,5368.39990234375,0,74.60134368384496
2010-04-06,5369.64990234375,5388.64990234375,5351.7001953125,5366.0,5366.0,0,75.51663217722772
