Date,Close,High,Low,Open,Volume,RSI,%K,%D,Upper Band,Lower Band,ATR,OBV,Chaikin
2014-01-02,6221.14990234375,6358.2998046875,6211.2998046875,6301.25,158100.0,,,,,,,0.0,
2014-01-03,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000.0,,,,,,,-139000.0,
2014-01-06,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300.0,,,,,,,-257300.0,
2014-01-07,6162.25,6221.5,6144.75,6203.89990234375,138600.0,,,,,,,-395900.0,
2014-01-08,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900.0,,,,,,,-249000.0,
2014-01-09,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100.0,,,,,,,-399100.0,
2014-01-10,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900.0,,,,,,,-239200.0,
2014-01-13,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000.0,,,,,,,-104200.0,
2014-01-14,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200.0,,,,,,,-214400.0,
2014-01-15,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900.0,,,,,,,-68500.0,224.18052783687017
2014-01-16,6318.89990234375,6346.5,6299.85009765625,6341.35009765625,153400.0,,,,,,,-221900.0,5582.595593143604
2014-01-17,6261.64990234375,6327.10009765625,6246.35009765625,6306.25,167700.0,,,,,,,-389600.0,19214.04434271573
2014-01-20,6303.9501953125,6307.4501953125,6243.35009765625,6261.75,122100.0,,,,,,,-267500.0,13955.803489906277
2014-01-21,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700.0,61.48791252701746,79.65246474077745,,,,69.27859933035714,-125800.0,9917.743281809613
2014-01-22,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500.0,63.748870193978995,94.7706228223502,,,,63.242885044642854,11700.0,59883.09480566124
2014-01-23,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100.0,65.81982164106758,95.39342809606481,89.93883855306416,,,62.43931361607143,131800.0,87541.0536866403
2014-01-24,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300.0,57.77408992928337,58.865695529513886,83.00991548264297,,,64.38929966517857,-28500.0,76073.62131335761
2014-01-27,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400.0,47.74744672855456,2.4850655555483327,52.24806306037567,,,68.65715680803571,-218900.0,8285.874106880758
2014-01-28,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100.0,45.85511031858652,14.945232442964421,25.431997842675546,,,71.93572126116071,-403000.0,-84926.6475010541
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700.0,45.87477376143547,12.720125017428922,10.050141005313892,6383.112564273323,6083.677474789177,73.425048828125,-549700.0,-139153.82446974475
2014-01-30,6073.7001953125,6082.85009765625,6027.25,6067.0,208100.0,42.19809067724215,14.146545301511908,13.937300920635083,6391.925678656227,6060.119389703148,72.96076311383929,-757800.0,-112343.68416737937
2014-01-31,6089.5,6097.85009765625,6067.35009765625,6082.75,146700.0,33.062180917513345,18.958422867645854,15.275031062195561,6396.703678824051,6043.176399300948,66.800048828125,-611100.0,-82792.3762114654
2014-02-03,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900.0,29.920494432649804,2.035057832579583,11.713342000579116,6412.234208366048,6008.680830696452,70.289306640625,-746000.0,-36037.50938511247
2014-02-04,6000.89990234375,6017.7998046875,5933.2998046875,5947.60009765625,183300.0,19.207059221530997,16.00758957116148,12.333690090462307,6424.190987560571,5980.589041736304,70.37144252232143,-929300.0,-10418.829939824442
2014-02-05,6022.39990234375,6028.0498046875,5962.0498046875,6004.25,166600.0,22.500443810027576,21.098753455717674,13.047133619819578,6430.596774116453,5958.963235649171,71.75359235491071,-762700.0,34202.77925603016
2014-02-06,6036.2998046875,6048.35009765625,5965.39990234375,6028.35009765625,185500.0,27.271778153147608,24.390226981827347,20.498856669568834,6434.280132903006,5942.074847565744,71.91074916294643,-577200.0,152190.63251918255
2014-02-07,6063.2001953125,6079.9501953125,6030.89990234375,6077.64990234375,181900.0,24.940127429972463,30.760194294871724,25.41639157747225,6435.099164937969,5930.43081553078,70.83576311383929,-395300.0,232296.73243484454
2014-02-10,6053.4501953125,6083.0498046875,6046.39990234375,6072.7998046875,133100.0,22.894366540864127,28.451410672805537,27.867277316501532,6426.715853473363,5916.884146526638,71.13933454241071,-528400.0,231887.1533261994
2014-02-11,6062.7001953125,6081.85009765625,6053.25,6072.4501953125,150500.0,20.25409363735399,30.641795134765765,29.95113336748101,6419.974850694709,5905.710159070915,68.71791294642857,-377900.0,176399.02132618742
2014-02-12,6084.0,6106.60009765625,6077.39990234375,6085.35009765625,138500.0,22.68503367863235,37.85006843166399,32.31442474641177,6399.141728017202,5902.853291514049,69.05360630580357,-239400.0,74366.1559703013
2014-02-13,6001.10009765625,6094.39990234375,5991.10009765625,6087.5498046875,153700.0,22.49714634089625,26.56230870470127,31.684724090377006,6378.6394527777375,5891.575586284762,70.59287806919643,-393100.0,-15328.59546967515
2014-02-14,6048.35009765625,6056.39990234375,5984.60009765625,6023.75,140200.0,39.04332046086533,48.513642615363075,37.64200658390944,6363.277904087792,5885.6071545059585,65.971435546875,-252900.0,-55993.81998700139
2014-02-18,6127.10009765625,6141.7001953125,6066.7998046875,6071.2998046875,126600.0,50.09073521057762,81.72041903789295,52.26545678598577,6339.052060880087,5892.147987948038,67.09287806919643,-126300.0,-64362.361569734865
