Date,Open,High,Low,Close,Volume,MACD,MACD_Signal,EMA_20,EMA_50,EMA_100,Bollinger_Upper,Bollinger_Lower,Pivot,Support1,Resistance1,EMA_150,EMA_200,RSI,Buy_Signal,Sell_Signal
2014-01-02,6301.25,6358.2998046875,6211.2998046875,6221.14990234375,158100,0.0,0.0,6221.14990234375,6221.14990234375,6221.14990234375,,,6263.583170572917,6168.866536458334,6315.866536458334,6221.14990234375,6221.14990234375,,0,0
2014-01-03,6194.5498046875,6221.7001953125,6171.25,6211.14990234375,139000,-0.7977207977210128,-0.1595441595442025,6220.197521391369,6220.757745481005,6220.951882541769,,,6201.36669921875,6181.033203125,6231.4833984375,6221.017452012624,6221.050399856188,,0,0
2014-01-06,6220.85009765625,6224.7001953125,6170.25,6191.4501953125,118300,-2.9851114901912297,-0.7246576256736079,6217.45968081243,6219.608429788123,6220.367690715447,,,6195.466796875,6166.2333984375,6220.68359375,6220.625832718582,6220.755870457744,,0,0
2014-01-07,6203.89990234375,6221.5,6144.75,6162.25,138600,-6.994221072010987,-1.978570314941084,6212.201615973151,6217.359079600354,6219.216845354745,,,6176.166666666667,6130.833333333334,6207.583333333334,6219.85264288125,6220.173722492991,,0,0
2014-01-08,6178.0498046875,6192.10009765625,6160.35009765625,6174.60009765625,146900,-9.070362144197134,-3.3969286807922936,6208.620518990589,6215.682256779016,6218.333345400319,,,6175.683430989583,6159.266764322916,6191.016764322916,6219.253271421317,6219.720253589143,,0,0
2014-01-09,6181.7001953125,6188.0498046875,6148.25,6168.35009765625,150100,-11.092177945549338,-4.935978533743702,6204.78524076827,6213.826093676163,6217.343578118258,,,6168.216634114583,6148.383463541666,6188.183268229166,6218.579057199263,6219.209107758965,,0,0
2014-01-10,6178.85009765625,6239.10009765625,6139.60009765625,6171.4501953125,159900,-12.302513840747451,-6.4092855951444525,6201.610474534387,6212.164293740333,6216.434798260718,,,6183.383463541667,6127.666829427084,6227.166829427084,6217.954833863015,6218.733894699796,,0,0
2014-01-13,6189.5498046875,6288.2001953125,6189.5498046875,6272.75,135000,-5.029687016150092,-6.133365879345581,6208.385667435874,6214.540203789731,6217.549950770407,,,6250.166666666667,6212.133138020834,6310.783528645834,6218.6805976529095,6219.271368384376,,0,0
2014-01-14,6260.25,6280.35009765625,6234.14990234375,6241.85009765625,110200,-1.7392344258259982,-5.254539588641665,6211.572756028291,6215.611180019791,6218.031141797849,,,6252.11669921875,6223.88330078125,6270.08349609375,6218.987478447656,6219.49603235723,,0,0
2014-01-15,6265.9501953125,6325.2001953125,6265.2998046875,6320.89990234375,145900,7.164543156203763,-2.7707230396725797,6221.984865201192,6219.740149522692,6220.068146957175,,,6303.799967447917,6282.399739583334,6342.300130208334,6220.337311876744,6220.50502608844,,0,0
2014-01-16,6341.35009765625,6346.5,6299.85009765625,6318.89990234375,153400,13.899245898178378,0.563270747897612,6231.214868738578,6223.628767280381,6222.025211420275,,,6321.75,6297.0,6343.64990234375,6221.642776651142,6221.484079583518,,0,0
2014-01-17,6306.25,6327.10009765625,6246.35009765625,6261.64990234375,167700,14.450374873820692,3.3406915730822284,6234.113443367642,6225.119792184827,6222.809858765294,,,6278.36669921875,6229.63330078125,6310.38330078125,6222.17267235568,6221.883739511481,,0,0
2014-01-20,6261.75,6307.4501953125,6243.35009765625,6303.9501953125,122100,18.09187678815488,6.290928616096759,6240.764562600485,6228.211180542775,6224.416598102863,,,6284.916829427083,6262.383463541666,6326.483561197916,6223.255818355109,6222.700321161242,,0,0
2014-01-21,6320.14990234375,6330.2998046875,6297.89990234375,6313.7998046875,141700,21.524453944250126,9.337633681727432,6247.720299942106,6231.567597175901,6226.186562589687,,,6313.999837239583,6297.699869791666,6330.099772135416,6224.455076452227,6223.606783683891,61.48791252701746,0,0
2014-01-22,6309.0498046875,6349.9501953125,6287.4501953125,6338.9501953125,137500,25.974801065758584,12.665067158533663,6256.408861405953,6235.778679455768,6228.419505811921,,,6325.4501953125,6300.9501953125,6363.4501953125,6225.971568092761,6224.754479321987,63.748870193979,0,0
2014-01-23,6325.9501953125,6355.60009765625,6316.39990234375,6345.64990234375,120100,29.69998069831217,16.072049866489365,6264.908008161934,6240.08735486314,6230.74089980265,,,6339.216634114583,6322.833170572916,6362.033365885416,6227.556711592775,6225.957418854541,65.81982164106758,0,0
2014-01-24,6301.64990234375,6331.4501953125,6263.89990234375,6266.75,160300,25.98609810724156,18.054859514639805,6265.083435956035,6241.132948790076,6231.453951291706,,,6287.36669921875,6243.283203125,6310.83349609375,6228.07582799552,6226.363315184347,57.77408992928337,0,0
2014-01-27,6186.2998046875,6188.5498046875,6130.25,6135.85009765625,190400,12.338065712374371,16.91150075418672,6252.775498975103,6237.004209529926,6229.560805675163,,,6151.549967447917,6114.550130208334,6172.849934895834,6226.854295143345,6225.462686154217,47.74744672855456,0,0
2014-01-28,6131.85009765625,6163.60009765625,6085.9501953125,6126.25,184100,0.7387383453851726,13.67694827242641,6240.725451453664,6232.660907195419,6227.5150471469415,,,6125.266764322917,6086.933430989584,6164.583333333334,6225.521787922903,6224.47549524721,45.85511031858652,0,0
2014-01-29,6161.0,6170.4501953125,6109.7998046875,6120.25,146700,-8.83610490049432,9.174337637842264,6229.251598934267,6228.252636325011,6225.390986807398,6378.9691436763405,6079.534054192194,6133.5,6096.5498046875,6157.2001953125,6224.127459606043,6223.438425642761,45.87477376143547,0,0
2014-01-30,6067.0,6082.85009765625,6027.25,6073.7001953125,208100,-19.950441094981212,3.3493818912775684,6214.437179541717,6222.191756285305,6222.387208757994,6380.340324018257,6048.534035065178,6061.266764322917,6039.683430989584,6095.283528645834,6222.13504550944,6221.948493002659,42.19809067724215,0,0
