Date,Close,High,Low,Open,Volume,RSI,%K,%D,Upper Band,Lower Band,ATR,OBV,Chaikin,SMA,EMA,MACD Line,Signal Line,MACD Histogram
2014-01-02,6221.14990234375,6358.2998046875,6211.2998046875,6301.25,158100.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,0.0,55891.96627546856,11890.032488095887,6221.14990234375,0.0,0.0,0.0
2014-01-03,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-139000.0,55891.96627546856,11890.032488095887,6220.197521391369,-0.7977207977210128,-0.1595441595442025,-0.6381766381768103
2014-01-06,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-257300.0,55891.96627546856,11890.032488095887,6217.45968081243,-2.9851114901912297,-0.7246576256736079,-2.260453864517622
2014-01-07,6162.25,6221.5,6144.75,6203.89990234375,138600.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-395900.0,55891.96627546856,11890.032488095887,6212.201615973151,-6.994221072010987,-1.978570314941084,-5.015650757069903
2014-01-08,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-249000.0,55891.96627546856,11890.032488095887,6208.620518990589,-9.070362144197134,-3.3969286807922936,-5.67343346340484
2014-01-09,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-399100.0,55891.96627546856,11890.032488095887,6204.78524076827,-11.092177945549338,-4.935978533743702,-6.156199411805636
2014-01-10,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-239200.0,55891.96627546856,11890.032488095887,6201.610474534387,-12.302513840747451,-6.4092855951444525,-5.893228245602999
2014-01-13,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-104200.0,55891.96627546856,11890.032488095887,6208.385667435874,-5.029687016150092,-6.133365879345581,1.1036788631954888
2014-01-14,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-214400.0,55891.96627546856,11890.032488095887,6211.572756028291,-1.7392344258259982,-5.254539588641665,3.5153051628156664
2014-01-15,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-68500.0,224.18052783687017,11890.032488095887,6221.984865201192,7.164543156203763,-2.7707230396725797,9.93526619587634
2014-01-16,6318.89990234375,6346.5,6299.85009765625,6341.35009765625,153400.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-221900.0,5582.595593143604,11890.032488095887,6231.214868738578,13.899245898178378,0.563270747897612,13.335975150280769
2014-01-17,6261.64990234375,6327.10009765625,6246.35009765625,6306.25,167700.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-389600.0,19214.04434271573,11890.032488095887,6234.113443367642,14.450374873820692,3.3406915730822284,11.109683300738464
2014-01-20,6303.9501953125,6307.4501953125,6243.35009765625,6261.75,122100.0,56.0570717593494,61.212029074169024,61.18864613874422,12283.947468526061,11496.117507665716,146.58775108748353,-267500.0,13955.803489906277,11890.032488095887,6240.764562600485,18.09187678815488,6.290928616096759,11.80094817205812
2014-01-21,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700.0,61.48791252701746,79.65246474077745,61.18864613874422,12283.947468526061,11496.117507665716,69.27859933035714,-125800.0,9917.743281809611,11890.032488095887,6247.720299942106,21.524453944250126,9.337633681727432,12.186820262522694
2014-01-22,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500.0,63.748870193979,94.7706228223502,61.18864613874422,12283.947468526061,11496.117507665716,63.24288504464285,11700.0,59883.09480566124,11890.032488095887,6256.408861405953,25.974801065758584,12.665067158533663,13.30973390722492
2014-01-23,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100.0,65.81982164106758,95.3934280960648,89.93883855306416,12283.947468526061,11496.117507665716,62.43931361607143,131800.0,87541.0536866403,11890.032488095887,6264.908008161934,29.69998069831217,16.072049866489365,13.627930831822807
2014-01-24,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300.0,57.77408992928337,58.865695529513886,83.00991548264297,12283.947468526061,11496.117507665716,64.38929966517857,-28500.0,76073.62131335761,11890.032488095887,6265.083435956035,25.98609810724156,18.054859514639805,7.931238592601755
2014-01-27,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400.0,47.74744672855456,2.4850655555483327,52.24806306037567,12283.947468526061,11496.117507665716,68.65715680803571,-218900.0,8285.874106880758,11890.032488095887,6252.775498975103,12.338065712374371,16.91150075418672,-4.5734350418123455
2014-01-28,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100.0,45.85511031858652,14.94523244296442,25.431997842675543,12283.947468526061,11496.117507665716,71.93572126116071,-403000.0,-84926.6475010541,11890.032488095887,6240.725451453664,0.7387383453851726,13.67694827242641,-12.938209927041235
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700.0,45.87477376143547,12.720125017428922,10.050141005313892,6383.112564273323,6083.677474789177,73.425048828125,-549700.0,-139153.82446974475,6233.39501953125,6229.251598934267,-8.83610490049432,9.174337637842264,-18.010442538336584
2014-01-30,6073.7001953125,6082.85009765625,6027.25,6067.0,208100.0,42.19809067724215,14.146545301511908,13.937300920635083,6391.925678656227,6060.119389703148,72.96076311383929,-757800.0,-112343.68416737935,6226.022534179688,6214.437179541717,-19.950441094981212,3.3493818912775684,-23.299822986258786
2014-01-31,6089.5,6097.85009765625,6067.35009765625,6082.75,146700.0,33.062180917513345,18.95842286764585,15.27503106219556,6396.703678824051,6043.176399300948,66.800048828125,-611100.0,-82792.3762114654,6219.9400390625,6202.538400537744,-27.170515618779973,-2.7545976107339403,-24.415918008046035
2014-02-03,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900.0,29.920494432649804,2.035057832579583,11.713342000579116,6412.234208366048,6008.680830696452,70.289306640625,-746000.0,-36037.50938511247,6210.45751953125,6183.420439028197,-39.513660633935615,-10.106410215374275,-29.40725041856134
