,precision,recall,f1-score,support
0,0.5507575757575758,0.5453863465866466,0.5480588013569544,1333.0
1,0.549777117384844,0.5551387846961741,0.5524449421425905,1333.0
accuracy,0.5502625656414104,0.5502625656414104,0.5502625656414104,0.5502625656414104
macro avg,0.5502673465712099,0.5502625656414104,0.5502518717497724,2666.0
weighted avg,0.5502673465712099,0.5502625656414104,0.5502518717497725,2666.0
