Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,EMA_12,EMA_26,MACD,Signal_Line
2014-01-02,6221.14990234375,6358.2998046875,6211.2998046875,6301.25,158100,,6221.14990234375,6221.14990234375,6221.14990234375,0.0,0.0
2014-01-03,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000,,6220.197521391369,6219.611440805288,6220.409161603009,-0.7977207977210128,-0.15954415954420256
2014-01-06,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300,,6217.45968081243,6215.2789414987055,6218.264052988897,-2.9851114901912297,-0.7246576256736079
2014-01-07,6162.25,6221.5,6144.75,6203.89990234375,138600,,6212.201615973151,6207.120642806597,6214.114863878608,-6.994221072010987,-1.9785703149410838
2014-01-08,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900,,6208.620518990589,6202.117482014236,6211.187844158433,-9.070362144197134,-3.3969286807922936
2014-01-09,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100,,6204.78524076827,6196.922499805315,6208.014677750864,-11.092177945549338,-4.935978533743702
2014-01-10,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900,,6201.610474534387,6193.003683729497,6205.306197570245,-12.302513840747451,-6.4092855951444525
2014-01-13,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000,,6208.385667435874,6205.272347771113,6210.302034787263,-5.029687016150092,-6.133365879345581
2014-01-14,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200,,6211.572756028291,6210.899693907289,6212.638928333115,-1.7392344258259982,-5.254539588641665
2014-01-15,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900,,6221.9848652011915,6227.822802897514,6220.65825974131,7.164543156203763,-2.7707230396725793
2014-01-16,6318.89990234375,6346.5,6299.85009765625,6341.35009765625,153400,,6231.214868738578,6241.83466435078,6227.935418452602,13.899245898178378,0.563270747897612
2014-01-17,6261.64990234375,6327.10009765625,6246.35009765625,6306.25,167700,,6234.113443367642,6244.883162503545,6230.432787629724,14.450374873820692,3.3406915730822284
2014-01-20,6303.9501953125,6307.4501953125,6243.35009765625,6261.75,122100,,6240.764562600485,6253.970398320307,6235.878521532152,18.091876788154877,6.290928616096759
2014-01-21,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700,,6247.720299942106,6263.174922376798,6241.650468432548,21.524453944250126,9.337633681727432
2014-01-22,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500,,6256.408861405953,6274.832656674599,6248.8578556088405,25.974801065758584,12.665067158533663
2014-01-23,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100,,6264.908008161934,6285.727617546776,6256.027636848464,29.699980698312174,16.072049866489365
2014-01-24,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300,,6265.083435956035,6282.807984078041,6256.8218859707995,25.98609810724156,18.054859514639805
2014-01-27,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400,,6252.775498975103,6260.199078474689,6247.861012762314,12.338065712374373,16.91150075418672
2014-01-28,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100,,6240.725451453664,6239.591527940121,6238.852789594735,0.7387383453851726,13.67694827242641
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700,6233.39501953125,6229.251598934267,6221.2312928724095,6230.067397772904,-8.83610490049432,9.174337637842264
2014-01-30,6073.7001953125,6082.85009765625,6027.25,6067.0,208100,6226.022534179688,6214.437179541717,6198.534200940116,6218.484642035097,-19.950441094981215,3.3493818912775684
2014-01-31,6089.5,6097.85009765625,6067.35009765625,6082.75,146700,6219.9400390625,6202.538400537744,6181.759708487791,6208.930224106571,-27.170515618779973,-2.7545976107339403
2014-02-03,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900,6210.45751953125,6183.420439028197,6154.073569441593,6193.587230075528,-39.513660633935615,-10.106410215374275
2014-02-04,6000.89990234375,6017.7998046875,5933.2998046875,5947.60009765625,183300,6202.3900146484375,6166.037530772535,6130.508389888078,6179.314094687989,-48.80570479991093,-17.846269132281606
2014-02-05,6022.39990234375,6028.0498046875,5962.0498046875,6004.25,166600,6194.780004882812,6152.35775663646,6113.8763148812595,6167.69082118101,-53.814506299750064,-25.0399165657753
