Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,Stochastic_K,Stochastic_D,Williams_%R,high_low,high_prev_close,low_prev_close,true_range,+DM,-DM,+DI,-DI,adx,ADX,ROC,CMF,CCI,OBV,Momentum,SMA_20,EMA_20,Bollinger_Upper,Bollinger_Lower,ATR,Parabolic_SAR
2014-02-07,6077.64990234375,6079.9501953125,6030.89990234375,6063.2001953125,6063.2001953125,181900,,0.0,0.0,30.760194294871724,25.41639157747225,-69.23980570512828,49.05029296875,43.650390625,5.39990234375,49.05029296875,0.0,0.0,4.028502173556612,24.33191876132138,38.16513554954077,38.16513554954077,-4.35008939183511,0.1312033178423172,-49.69178897774473,-395300.0,-203.5498046875,6182.764990234375,6133.866101875311,6435.099164937969,5930.43081553078,70.83576311383929,5933.2998046875
2014-02-10,6072.7998046875,6083.0498046875,6046.39990234375,6053.4501953125,6053.4501953125,133100,,-0.777777777778283,-0.15555555555565662,28.451410672805537,27.86727731650153,-71.54858932719446,36.64990234375,19.849609375,16.80029296875,36.64990234375,0.0,0.0,4.011311428553219,24.22808766161022,43.21258199250203,43.21258199250203,-4.604724677977062,0.0753235833604199,-40.989857692841404,-528400.0,-82.39990234375,6171.8,6126.207444107424,6426.715853473363,5916.884146526638,71.13933454241071,5939.1658203125
2014-02-11,6072.4501953125,6081.85009765625,6053.25,6062.7001953125,6062.7001953125,150500,,-0.6403925292815984,-0.252522950300845,30.641795134765765,29.95113336748101,-69.35820486523424,28.60009765625,28.39990234375,0.2001953125,28.60009765625,0.0,0.0,2.11010617780214,23.995624987311448,48.97219367309768,48.97219367309768,-3.256070605776519,0.0814581694907459,-29.32737211070401,-377900.0,-63.5498046875,6162.842504882812,6120.159134698384,6419.974850694709,5905.710159070915,68.71791294642857,5947.798859375
2014-02-12,6085.35009765625,6106.60009765625,6077.39990234375,6084.0,6084.0,138500,,1.1736731251439778,0.03271626478811959,37.85006843166399,32.31442474641177,-62.149931568336,29.2001953125,43.89990234375,14.69970703125,43.89990234375,24.75,0.0,4.659971059217487,23.878973991176345,53.55387109590146,53.55387109590146,-0.8450352735321144,0.0179528645804911,9.112384272024922,-239400.0,-36.25,6150.997509765625,6116.715407584253,6399.141728017202,5902.853291514049,69.05360630580357,5958.618935
2014-02-13,6087.5498046875,6094.39990234375,5991.10009765625,6001.10009765625,6001.10009765625,153700,,-4.031523180150543,-0.780131624199613,26.56230870470127,31.684724090377006,-73.43769129529872,103.2998046875,10.39990234375,92.89990234375,103.2998046875,0.0,86.2998046875,4.558360782573854,26.778288363020675,57.40832691391109,57.40832691391109,-2.042846804223628,-0.0124369395596419,-59.78879476299625,-393100.0,-72.60009765625,6135.10751953125,6105.704425686347,6378.6394527777375,5891.575586284762,70.59287806919643,5973.417051265625
2014-02-14,6023.75,6056.39990234375,5984.60009765625,6048.35009765625,6048.35009765625,140200,,-4.2944943802522175,-1.4830041754101342,48.51364261536308,37.64200658390944,-51.486357384636925,71.7998046875,55.2998046875,16.5,71.7998046875,0.0,0.0,4.877683868058342,28.654165695232383,61.86131433724474,61.86131433724474,-1.1747870159511458,0.0555666416490038,-48.2785265629582,-252900.0,-41.14990234375,6124.442529296875,6100.2421087311,6363.277904087792,5885.607154505959,65.971435546875,6106.60009765625
2014-02-18,6071.2998046875,6141.7001953125,6066.7998046875,6127.10009765625,6127.10009765625,126600,,1.8304654416651829,-0.8203102519950707,81.72041903789295,52.26545678598577,-18.27958096210705,74.900390625,93.35009765625,18.44970703125,93.35009765625,85.30029296875,0.0,13.877413529331957,23.458961878933525,62.108569356069744,62.108569356069744,0.8791988512202569,0.0454172368503685,115.0919490695008,-126300.0,125.30029296875,6115.600024414062,6102.800012438257,6339.052060880087,5892.147987948038,67.09287806919643,5984.60009765625
2014-02-19,6132.0498046875,6160.35009765625,6125.75,6152.75,6152.75,95200,,8.654509187778785,1.0746536359597005,96.65268097350749,75.62891420892116,-3.3473190264925305,34.60009765625,33.25,1.35009765625,34.60009765625,0.0,0.0,14.273264269093897,24.128124572269368,62.59179871348329,62.59179871348329,1.0386731258724031,0.0642615657601627,177.3547144912184,-31100.0,151.85009765625,6107.547534179687,6107.557154110805,6311.699941469188,5903.3951268901865,65.23214285714286,5990.8841015625
2014-02-20,6127.14990234375,6129.10009765625,6086.4501953125,6091.4501953125,6091.4501953125,132100,,9.012342413363513,2.662191391440463,69.65434334267385,82.6758144513581,-30.345656657326145,42.64990234375,23.64990234375,66.2998046875,66.2998046875,0.0,39.2998046875,14.703131764091616,29.28768366660168,61.907781802338334,61.907781802338334,1.4937251081747451,0.0025822153352628,80.67403273187306,-163200.0,69.05029296875,6095.172534179687,6106.023158034775,6267.842341310446,5922.502727048929,63.324986049107146,6001.052061328125
2014-02-21,6108.2998046875,6159.64990234375,6108.0,6155.4501953125,6155.4501953125,112600,,14.295404428697111,4.988833998891793,97.84193084286204,88.04965171968111,-2.158069157137972,51.64990234375,68.19970703125,16.5498046875,68.19970703125,30.5498046875,0.0,17.40876122571998,28.093052693195443,60.5328644484467,60.5328644484467,2.575451940272956,0.0140371639290071,129.12075812146162,-50600.0,119.150390625,6085.662548828125,6110.730494918368,6216.011298799504,5955.313798856746,66.017822265625,6013.795904234376
